Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Denominator,Score,Start_Date,End_Date
10019,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,727,5.6,7/1/23,6/30/24
10019,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10019,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10019,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,149,8.6,7/1/21,6/30/24
10019,MORT_30_HF,Death rate for heart failure patients,Worse Than the National Rate,230,18.5,7/1/21,6/30/24
10019,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,228,18.7,7/1/21,6/30/24
10019,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,48,13.3,7/1/21,6/30/24
10019,PSI_03,Pressure ulcer rate,No Different Than the National Rate,2416,0.31,7/1/22,6/30/24
10019,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10019,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,2964,0.19,7/1/22,6/30/24
10019,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,2871,0.29,7/1/22,6/30/24
10019,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,319,2.83,7/1/22,6/30/24
10019,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10019,PSI_11,Postoperative respiratory failure rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10019,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,324,3.93,7/1/22,6/30/24
10019,PSI_13,Postoperative sepsis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10019,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,108,2.02,7/1/22,6/30/24
10019,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,440,0.94,7/1/22,6/30/24
10019,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.93,7/1/22,6/30/24
10021,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,4/1/21,3/31/24
10021,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,No Different Than the National Rate,64,4.4,7/1/23,6/30/24
10021,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10021,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10021,MORT_30_COPD,Death rate for COPD patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10021,MORT_30_HF,Death rate for heart failure patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10021,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,72,16,7/1/21,6/30/24
10021,MORT_30_STK,Death rate for stroke patients,Number of Cases Too Small,Not Available,Not Available,7/1/21,6/30/24
10021,PSI_03,Pressure ulcer rate,No Different Than the National Rate,304,0.56,7/1/22,6/30/24
